,Tampa,Brandon,Clearwater,Wesley Chapel,Clearwater Beach,Spring Hill,Safety Harbor,Dunedin,Palm Harbor,Riverview,Pinellas Park,Largo,Oldsmar,Indian Rocks Beach,Tarpon Springs,San Petersburgo
2006,66.0,28.6,76.9,50.0,54.5,100.0,50.0,50.0,57.1,0.0,100.0,40.0,0.0,100.0,50.0,83.3
2007,66.7,62.5,68.2,100.0,75.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0,66.7,100.0,50.0,52.2
2008,57.1,61.5,58.0,66.7,57.1,0.0,71.4,100.0,54.5,50.0,37.5,75.0,25.0,83.3,70.0,57.4
2009,50.7,34.9,59.3,50.0,50.0,44.4,41.7,66.7,70.6,63.6,62.5,63.6,40.0,72.7,58.8,48.8
2010,51.1,41.4,50.5,43.5,46.4,68.8,41.7,55.2,57.9,50.0,55.2,64.1,50.0,47.1,60.9,45.5
2011,43.3,40.7,53.8,26.7,28.6,57.6,46.2,66.7,54.8,40.0,48.6,64.9,36.4,44.4,50.0,46.6
2012,41.2,51.8,46.0,37.1,27.3,57.1,28.6,44.1,48.6,48.6,47.1,47.8,33.3,38.1,64.4,50.7
2013,41.7,38.1,42.0,20.8,29.3,52.9,61.9,42.3,39.7,44.7,47.2,44.7,33.3,45.5,47.3,42.9
2014,43.4,37.7,47.7,30.4,22.7,58.3,44.4,40.3,41.1,41.7,49.2,53.2,33.3,48.3,53.7,44.1
2015,49.0,46.4,50.0,28.6,33.3,43.1,54.2,47.0,44.0,43.9,49.2,45.9,50.0,46.4,59.2,49.3
2016,48.7,49.5,50.8,38.2,24.4,42.3,60.7,56.2,42.9,38.0,59.4,50.8,46.4,39.3,65.3,54.0
2017,51.4,47.4,53.5,33.3,28.3,42.1,63.3,46.8,45.3,45.6,60.3,55.7,55.6,51.9,54.7,59.1
2018,52.8,42.5,55.1,41.1,32.6,42.6,62.5,55.4,43.2,50.0,55.6,53.3,63.3,48.1,57.1,60.8
2019,55.0,55.9,59.7,45.9,46.7,56.7,67.7,65.5,46.2,47.8,64.8,52.2,54.8,65.5,52.1,59.2
2020,59.4,57.0,61.5,48.5,56.2,47.0,65.4,67.3,54.7,46.1,70.4,58.2,59.4,51.7,62.2,65.5
2021,54.5,60.9,55.0,39.4,52.0,40.3,60.0,58.3,47.3,45.6,56.3,49.6,42.3,54.2,59.5,55.6
2022,62.5,67.4,61.2,64.3,58.3,60.0,73.7,80.7,66.7,65.1,67.6,59.6,61.5,66.7,62.1,64.0
