,Tampa,Clearwater,San Petersburgo,Largo,Brandon,Dunedin,Palm Harbor,Tarpon Springs,Pinellas Park,Wesley Chapel,Clearwater Beach,Safety Harbor,Indian Rocks Beach
2007,-32.8,-62.5,20.0,-75.0,25.0,-75.0,-87.5,-25.0,-50.0,-66.7,-50.0,50.0,-75.0
2008,59.3,93.3,225.0,1700.0,60.0,700.0,200.0,133.3,200.0,100.0,33.3,66.7,400.0
2009,48.2,65.5,7.7,-22.2,87.5,25.0,100.0,42.9,233.3,-25.0,12.5,0.0,-20.0
2010,34.0,8.3,7.1,78.6,60.0,60.0,83.3,40.0,60.0,233.3,44.4,0.0,0.0
2011,12.5,48.1,37.8,48.0,37.5,75.0,54.5,21.4,12.5,-20.0,-23.1,20.0,0.0
2012,12.4,3.9,22.6,-10.8,30.3,7.1,0.0,70.6,33.3,62.5,-10.0,0.0,0.0
2013,16.0,8.8,-11.8,15.2,-14.0,0.0,-8.8,-10.3,4.2,-23.1,33.3,116.7,25.0
2014,15.5,29.9,6.0,31.6,8.1,-3.3,-3.2,38.5,16.0,40.0,-16.7,-7.7,40.0
2015,23.0,10.6,43.7,0.0,12.5,34.5,23.3,16.7,6.9,0.0,40.0,8.3,-7.1
2016,0.9,7.2,13.7,24.0,8.9,38.5,5.4,16.7,32.3,50.0,-21.4,30.8,-15.4
2017,8.7,7.5,23.3,17.7,10.2,-18.5,10.3,-16.3,0.0,-14.3,18.2,11.8,27.3
2018,8.7,9.0,8.4,-1.4,-11.1,27.3,-11.6,-2.4,-2.4,27.8,15.4,5.3,-7.1
2019,9.9,10.2,-2.6,0.0,37.5,28.6,13.2,-5.0,15.0,21.7,40.0,5.0,46.2
2020,4.4,2.3,-3.3,8.3,-1.5,-2.8,20.9,21.1,8.7,14.3,28.6,-19.0,-21.1
2021,-10.1,-12.4,-21.2,-19.2,7.7,-14.3,-15.4,2.2,-20.0,-18.8,-3.7,23.5,-13.3
2022,-43.1,-45.2,-50.4,-55.6,-55.7,-23.3,-45.5,-61.7,-37.5,3.8,-19.2,-33.3,-7.7
