id_nombre,nombre,nombre_normalizado
P4US,Apc pediatrics,
OYLJ,K & m drugs,
7JJ8,Cvs pharmacy,
L3PF,Select physical therapy,
OT0Q,Vivify chiropractic,
6EXQ,Parrish healthcare center at titus landing,
HLJ3,Quan yin medical center,
DXNX,Pasco dental,
HMH0,Clear choice physical therapy,
W2RO,"Richard delboccio dmd, pa",
7OOM,Winn-dixie pharmacy,
9KVC,City drugs (pharmacy),
WDDY,Presidential women's center,
7H9L,Doctor’s medical centers,
41IM,Bayview dental associates,
Y5TD,Sollee dental,
967Q,Florida sports and family health center,
X8R5,Aguilar aesthetics - med spa,
I17G,Orlando health jewett orthopedic institute - sandlake,
ILO9,Emergency physicians medical center,
RVXL,Christie dental of palm bay,
FX9J,Yangs acupuncture,
QJXT,Helix urgent care - tequesta,
9825,"Smile crafters clermont - dr. riopedre, dr. sanchez",
SNNW,Orthopedic center of palm beach county,
RMD2,Jensen family dentistry,
5WSP,Johnson chiropractic and acupuncture clinic,
WJWV,Sunshine family medical & wellness center,
S8GY,"Brian p baker dmd,pa",
UQXD,Firecloud acupuncture & herb clinic,
GO8K,Greenberg dental & orthodontics,
26AW,Azari & zahedi dentistry,
NU2R,Respiratory care & sleep medicine - baptist beaches,
YFIV,Royal palm drugs- my pharmacy,
WCXY,904 dental care,
304Q,Laurellwood care center,
S2G2,Acudrhealing medical center,
RJYD,Sage dental of the lakes,
J896,Womens care florida - countryside,
1I6V,Relief clinic llc,
7LR2,Peak dental,
OBLH,Premier physical therapy & sports performance,
FA8G,Linda berlin psy.d. & psychological associates,
T14X,Laseraway,
Y2E1,Roberto r maal dds pa,
ST4I,Brown cynthia dmd,
V9LV,Galt family dentistry,
SO9X,Joseph s gay dds,
OJ2N,Pinnacle cardiovascular associates,
5RPM,"Iosif kelesidis, md, facc",
DHTB,Publix pharmacy at oakleaf plantation center,
OQ8N,Vascular vein centers,
DLVS,Chi everglades health center,
GXQH,Osceola gynecology,
6XEN,"Schroeder dental group: katrina schroeder, dmd",
J7SK,Lehigh acres health and rehabilitation center,
U1HC,Ata dental kissimmee,
CAXN,Watson clinic bella vista building,
1HTY,The woman's group,
009Y,Dental specialty center of fort myers,
67Z7,Obt dental and orthodontics,
EOEN,Florida primary & specialty care,
NOK0,"Total dental care: tony lee, dmd",
419G,Better reflections skincare,
BFLE,Brandon steen md,
9WTW,Bay smile docs,
O7MA,Coast dental,
GU3Q,Artistik beauty,
84ZP,Anderson family dental,
4BLM,Cry-x whole body cryotherapy & cryoskin,
4BJE,Lake mary dental,
JO0Y,"Johns hopkins all children's outpatient care, tampa",
SKPJ,Just pull it,
B3CP,Encompass health rehabilitation hospital of sarasota,
VTG1,Ivanov orthodontic experts,
AHFO,Sunset family & cosmetic dentistry,
CQ2U,Publix pharmacy at old cutler town center,
ROF5,"Premier dentistry of oviedo, dr. stacey chan dmd",
L5RC,Gulf coast medical group laurel primary care & walk-in,
C7FQ,St. joseph's hospital,
BLZM,Delray physician care center,
9N7C,Organic skin & body spa med spa,
RTXZ,Elegantly dental of metrowest,
3YVC,Henderson dental,
LCHM,Crestview family dentistry,
8WDA,Axe holistic medicine,
U4RJ,Grove animal hospital,
QOSB,Westside orthodontics and pediatric dentistry,
D1U4,Tower dental associates,
AOPO,Coral ridge smile,
HSAP,Beller's salon & spa,
4B19,Quasha dentistry,
AQB1,Fortune dental,
O4RN,"Dental options, p.a. - jessica hayate, dmd",
X82P,Dennis mark r dds,
CHWA,Gerlecz dentistry,
WV1P,Nation's best family health care,
IS48,Sujin smiles dmd llc,
XVJJ,Black oak social club tattoo,
GL95,Primary care walk in clinic,
721K,Women's care florida - historic kenwood,
3UDC,Park avenue dermatology,
S5R3,Levine heart & wellness,
ZOZQ,"Implant and periodontal therapy - north tampa - drs. richard, richard and matthew rasmussen",
MTKS,Women's care florida,
38RV,Gables family dental,
UF3Y,441 animal hospital,
G9C5,Renaissance aesthetic dentistry,
GXOV,Great expressions dental centers - monument,
Y451,General & cosmetic dentistry of south tampa,
DWCW,Advanced medical center,
WWSA,All about smiles - orthodontist in orlando,
XJD2,Biomat usa,
QU2F,Apalachee center inc,
SLGY,Trinity chiropractic - *chiropractor naples* voted best of naples award 2021 - bonita springs,
AB8X,Loch haven veterinary hospital,
ZJWY,Elite dental group,
U7AV,"Srinivas prasad, md",
PXP0,Park plaza dental,
5OVP,Rio pinar health care,
L8NB,Altamonte implant and cosmetic dentistry,
PM88,Cannamd - west palm beach medical marijuana doctors & cannabis cards,
NGKW,Orlando orthopaedic center orthopaedic injury walk-in clinic,
1AX5,Manella family practice,
XWJ1,Advanced dermatology and cosmetic surgery - port st. lucie,
VICM,Florida walk in medical clinic,
19SK,"Miller & korn periodontics and implant solutions: robert j miller dmd, randi j korn dmd",
5V10,"Dennis a. hernandez, dmd, pa",
HSVL,Great expressions dental centers - sarasota,
41CV,Navarro pharmacy,
ADMC,Oceanside dental,
3NNS,"Manon bourque hutchison, dds",
HPZB,Broward specialty group,
XCN1,The hyde park center for aesthetic dentistry - christine grant d.m.d.,
F1GS,Comfort dental care & orthodontics - crestview,
MPOK,Garden drug & medical supply,
W9CF,Gateway radiology,
Y1WI,First coast family medicine,
7TOA,Cryo 954 wellness & recovery center,
1WMF,Tallahassee memorial family medicine residency program,
N5P8,Murabella animal hospital,
372Y,Fresh heads lice removal - orlando,
7VJB,Triforce crossfit wgv,
