id_nombre,nombre
1,Titusville Mall
2,Landmark Shopping Center
3,LandMark Plaza
4,Ellenton Premium Outlets
5,CocoWalk
6,RK Village Plaza - Raanan Katz Shopping Center
7,Legacy Place
8,Market Street At Heath Brook
9,Palm Beach Outlet
10,Tin City
11,Orlando International Premium Outlet
12,European Village
13,The Grove Shoppes
14,The UPS Store #6657
15,Anchor Shops & Parking
16,Homestead Towne Square
17,Miami Design District
18,Lincoln Center
19,Wellington Mall
20,Shout Supermarket
21,Chiefland Regional Shopping Center
22,Upper Buena Vista
23,ONE DAYTONA
24,Thrift Life
25,Natural Food Market Place
26,The Village at Hunter's Lake
27,Fashion Square Mall
28,Plaza 800
29,Shoppes of Winder Oaks
30,Concorde Plaza
31,Southgate Shopping Center
32,Glengary Shoppes
33,Crestwood Square
34,Middleton Downtown
35,Shoppes at Paradise Pointe
36,Perry Plaza
37,Sparkman Wharf
38,University Mall
39,DeSoto Square Mall
40,Brandon Mall
41,
42,Lakeview Plaza
43,Sawgrass Mills
44,Rutland Plaza
45,Dezerland Park Orlando
46,The Mall at Millenia
47,Boynton Beach Mall
48,The Mall at Wellington Green
49,Miami International Mall
50,Treasure Coast Square Mall
51,Promenade at Coconut Creek
52,Melbourne Square Mall
53,Westfield Citrus Park
54,Dolphin Mall
55,The Shops at Wiregrass
56,East Towne Center
57,The Gardens Mall
58,Lakeland Square Mall
59,The Florida Mall
60,Southland Mall
61,Sweets Plaza
62,Quesada Commons
63,Dadeland Mall
64,Lakeshore Mall
65,Shopping Plaza
66,Aventura Mall
67,Westfield Broward Mall
68,Searstown Mall
69,The Oaks Mall
70,Tyrone Square Mall
71,Lake Square Mall
72,Port Charlotte Town Center
73,Pinellas Park Square
74,Panama City Mall
75,Pembroke Lakes Mall
76,Merritt Square Mall
77,Gulf Coast Town Center
78,Tamiami Trail Shops
79,Seminole Mall
80,Countryside Mall
81,Superior Plaza
82,Orange Park Mall
83,Bal Harbour Shops
84,Seminole Towne Center
85,Coral Square Mall
86,Heritage Walk
87,Saint George's Row
88,Shoppes at Andros Isle
89,Eagle Ridge Mall
90,Worth Avenue
91,The Loop
92,Santa Rosa Mall
93,The Galleria at Fort Lauderdale
94,Coral Ridge Mall
95,Mall of the Americas
96,Flamingo Market Place
97,Higate Square
98,Great Clips TJ Maxx Plaza
99,The Meadows Shopping Center
100,Intracoastal Mall
101,Skylake Mall
102,Champion Plaza
103,Keystone Plaza
104,Regency Square Shopping Center
105,Shops at Merrick Park
106,Davie Shopping Center
107,Sarasota Square Mall
108,Westfield Siesta Key
109,Shoppes of Lakeland
110,Plantation Square
111,American Plaza
112,Westgate Plaza
113,Southchase Village
114,Bluffs Square Shoppes
115,Pompano Citi Centre
116,Shoppers Haven
117,Oceanwalk Mall
118,Saint Augustine Premium Outlets
119,Colonial Promenade
120,Town Center at Boca Raton
121,Mall at University Town Center
122,Ocean Walk Village
123,Centro Ybor
124,Pembroke Gardens
125,Volusia Mall
126,Oviedo Mall
127,Paddock Mall
128,Sunset Harbour Shops
129,The Greenery Mall
130,Gulf View Square Mall
131,Cordova Mall
132,Bartow Shopping Center
