id_nombre,nombre
5GKG,Daytona beach oceanside inn
UNCN,Oceanfront resorts & beachside condo rentals
TA3H,A1 value inn hernando
LZL9,Palms inn
V2Y1,Magnuson inn pensacola
S1MN,Blue inn lake buena vista south
R7KG,Ayurveda health retreat
P7MF,Lyx miami suites
T5QM,Star motel
8VQI,Grandfloridianvilla
HWTI,Palmer house bed and breakfast
ECEI,Building 69
NWLQ,Hotel kissimee
QSLQ,Sea-view condos
1UPL,Club at ibis
GR7Z,Resort tours international llc
XJXL,The club at laplaya beach & golf resort
4QU1,Angelina lakeside inn
H4XA,Econo inn
TO08,"The florida hotel & conference center, bw premier collection"
GA99,Tampa east rv resort
Q3EY,American inn of cocoa
ZPCW,Splash owner's association
P457,Delray south shore club
L8DU,Classics golf at lely resort
YL3Q,Breakers hotel
FTGS,A place to be motel
76TJ,Chic apartments at miami beach
3QCA,Ventura resort rentals orlando
924F,Westgate resorts - lake ellenor
IENR,Gonzalo
Y1SX,Sage 'n sand motel
IT97,Rodeway inn near florida mall
C3WX,Relax inn
4KDW,Emiliano breit salon & spa
JIVE,Ybor resort & spa
VLBI,Wildwood country resort
YT6I,Champion lely resort
DV93,Diana motel
QL2W,Deer park community
RKKA,Conch on inn motel
J6Y1,Cedarkirk cedar lodge
9QBA,Sunnyside on the gulf
E28M,Lookout lodge resort
TOPI,Paws grooming & puppies 🐶
P5Y9,South shore resort
MHFT,Bonita village resort
YJ28,Lake kathryn motel - closed
EHRJ,Fountainlodge.motel
3FS1,Casa thorn bed & breakfast
G06Y,Econo lodge
BQ6E,Sea oats beach resort
JQ7K,Haven motel
3YDJ,Holiday inn express melbourne
CJCB,Christian retreat
G35T,Econfina resort
CA3A,Eastwind beach club
2XBP,Casa del sol beach resort
IIH0,Tony's motel
6YZQ,Wilson court motel
O4Y5,Motel 92
TRXV,Masonic lodge 115
OU12,Ashford inn extended stay
MLJ3,Bella toscana med spa
VM3Y,Sorrento tower
Z0M0,Camp florida rv resort
WU0U,Arcadia resorts
B61T,Best western bonita springs hotel and suites - closed
UQRW,Tampa lakes health and rehabilitation center
6821,The courtyard at the oak
EQ0N,Wingate by wyndham miramar
WU6Y,Hilton grand vacations sales center
RVYI,Best western plus fort pierce inn - closed
G91W,Henry george mobile home park
J8LX,Howard johnson express inn gainesville fl
RVLJ,Seascape resort inc
I7Z5,Lake june vacation resort
SWF0,Jw marriott pool deck
7BYL,Staybridge suites jacksonville
I7OM,Small world castle
I0EA,Ocean queen
5542,5 star island
4AOW,Seville hotel & apartments
K7IH,Versailles tower
6O5M,International drive
B69Y,Atlantique beach house
LQ5P,River's edge inn
41GU,Wyndham vacation rentals - central destin office
4CXB,Riverside golf & boating resort office
JX4S,Orange lake holiday inn
BAH3,Ramada clearwater airport
BCDT,Travelodge lake city
0EBE,La siesta condominiums
NZVY,El mar rv resort
317N,Cottages christian retreat
INPD,Rainbow inn motel
FJ6X,Wonder vacation homes
LYKS,Plantation beach club
II7X,Magnuson hotel pensacola
FJRQ,Aster at lely resorts
YW8C,Caribbean mystique massage & wellness spa of lutz
XS5P,The 12 step group
V8VV,The park avenue inn
OG8W,Caribe motel
XZ1U,Butterfly lodge motel
139W,Grand motel
S06Z,Lakeshore resort motel
76OY,Prairie creek lodge
EXKM,Suwannee river motel
D9FC,Econo lodge oceanfront
NUZ2,The ritz-carlton members golf club
W33T,Quail creek plantation
O3DK,Apopka golf & tennis at errol estate
SDJK,The villas at seven dwarfs
8TOH,Trafalgar village resort
WSEL,Red roof inn orlando west
QWZA,Knights inn bradenton
0Q4O,Sunset view ranches
CMF7,Best western plus atlantik
N6RN,The sausage castle
J0LB,Everglades hostel and tours- an urban oasis
G0K9,Lake house apartments
BTTD,Nautilus condominium
RC5L,Cocoa beach towers
SR05,Moose lodge 557
7P4X,Maderia beach
3ZCQ,Florida motel
JLQ7,Villa madeira
HHBG,The castaways on the river
ABX0,Uncle henry's marina
8HEB,Rodeway inn
G62D,Hawthorn suites by wyndham jacksonville
72MK,West express inn
ZLR4,Hotel
8FFN,The best miami hotel
1BFV,Alys beach vacation rentals
LIKT,Villa da costa
0S40,Driftwood motel
5T08,Bay breeze motel
QPF0,Sunset cove
RAQT,Land of id
NFWO,Marco resort & club
edu6822,Seaview Condominiums
edu6823,1-275 Rest Area Manatee County Mile 7
edu6824,Windsong Charters & Boat Rentals
edu6825,Clearwater Travel Resort
edu6826,The Bungalows
edu6827,TownePlace Suites Tampa North/I-75 Fletcher
edu6828,Thriller Clearwater
edu6829,Carnival Cruise Lines
edu6830,Hubbard's Marina
edu6831,Watergarden Inn At the Bay
edu6832,Shangri-La Bath & Sauna
edu6833,Country Inn & Suites Radisson
edu6834,Hertz Rent A Car
edu6835,Alfresco's
edu6836,Palm Pavilion Inn
edu6837,Courtyard by Marriott St. Petersburg Clearwater
edu6838,Hampton Inn & Suites Tampa-Wesley Chapel
edu6839,Sun Line Cruises
edu6840,Scuba Haven
edu6841,Embassy Suites by Hilton Tampa Downtown Convention Center
edu6842,Ebb Tide Motel
edu6843,Woody's Watersports
edu6844,Pier House 60 Beach Marina Hotel
edu6845,Sleep Inn Wesley Chapel - Tampa North
edu6846,Rent Max
edu6847,Ybor City Food Tours
edu6848,Grand Hyatt Tampa Bay
edu6849,iTREKKERS
edu6850,Courtyard by Marriott Tampa Oldsmar
edu6851,Hampton Inn & Suites St. Petersburg/Downtown
edu6852,Fairfield Inn & Suites Tampa Fairgrounds/Casino
edu6853,Aloft Tampa Downtown
edu6854,Alamo Rent A Car
edu6855,Coast Bike Share
