id_servicios_restaurantes,id_general_category
05HTY,1
05HTY,2
05HTY,3
05HTY,4
R252A,5
R252A,1
R252A,6
U8STH,5
A9XWK,5
SEKWE,5
BGI4T,5
NBKVM,2
NBKVM,1
NBKVM,7
NBKVM,4
NBKVM,8
SA1R1,4
SA1R1,5
SA1R1,2
VRK8T,5
VRK8T,9
VRK8T,3
VRK8T,4
7BLXV,7
7BLXV,1
SY78V,4
SY78V,3
SY78V,7
SY78V,8
JY1OO,5
OIOAV,5
OIOAV,6
OIOAV,3
OIOAV,4
OIOAV,2
1SOM0,5
4X4IS,5
DF1OO,5
4YMTO,10
4YMTO,4
4YMTO,6
4YMTO,7
UAYKA,2
UAYKA,5
UAYKA,4
N90J8,3
N90J8,2
N90J8,7
OTG56,5
4XLNQ,2
4XLNQ,8
4XLNQ,4
4XLNQ,5
7K2VL,5
J1U30,11
J1U30,5
J1U30,4
1W5AL,5
4JEEH,5
GA8MO,5
GA8MO,1
GA8MO,2
GA8MO,4
GA8MO,8
R6YIN,5
XLQZ7,5
XLQZ7,4
XLQZ7,7
XLQZ7,6
3QJR6,5
MIH96,5
B6GKE,5
ZC7CY,6
ZC7CY,9
ZC7CY,5
CXO4Z,5
719LV,5
HX9MX,4
HX9MX,1
HX9MX,2
HX9MX,7
DXV8K,8
DXV8K,1
DXV8K,2
1SJCI,4
1SJCI,6
1SJCI,9
1SJCI,7
1SJCI,12
XESZE,12
XESZE,2
XESZE,4
XESZE,7
XESZE,5
XESZE,6
G0NQA,4
G0NQA,11
G0NQA,2
LIIEG,5
J0SRD,5
CETHB,5
YPJPS,4
YPJPS,11
UHZX7,7
UHZX7,4
H8Q8G,5
I7M0J,5
KDR5F,5
5LQHW,1
5LQHW,2
5LQHW,4
5LQHW,5
K2Q1R,10
K2Q1R,4
LZH24,5
LZH24,4
LZH24,2
LZH24,12
LZH24,7
3IDCW,5
5FWRT,5
PDWF5,5
Y46NV,11
BVTQ1,5
BVTQ1,4
BVTQ1,12
P0TTP,5
HXWW4,5
HXWW4,6
HXWW4,8
HXWW4,2
HXWW4,4
HXWW4,7
Y9NVZ,5
Y9NVZ,2
Y9NVZ,4
Y9NVZ,7
Y9NVZ,1
4U8U8,5
P2ADH,5
2PDME,5
K4TEA,4
K4TEA,10
K4TEA,9
K4TEA,6
VP9DC,4
VP9DC,2
VP9DC,5
ZXRN0,1
ZXRN0,5
ZXRN0,6
ZXRN0,4
ZXRN0,7
DISN4,2
DISN4,6
DISN4,4
DISN4,7
AXM5P,9
AXM5P,5
AXM5P,6
AXM5P,3
AXM5P,7
AXM5P,4
AA324,4
AA324,1
AA324,6
M5PDB,7
M5PDB,4
M5PDB,12
M5PDB,5
CDKHT,10
CDKHT,4
WLYH8,5
DF6RJ,5
IPVWU,4
IPVWU,1
IPVWU,7
EK7WA,5
VF2FW,5
4G22C,5
5XBY7,4
5XBY7,2
5XBY7,6
T1IKM,5
GEGI8,5
KZ841,5
U2A3N,5
O8CFW,6
O8CFW,1
O8CFW,5
O8CFW,4
O8CFW,7
MKHUD,10
MKHUD,8
MKHUD,4
XWN4F,5
KXUDG,5
BQ4U9,5
JK4FK,1
JK4FK,2
JK4FK,7
JK4FK,4
XM8X1,4
XM8X1,7
XM8X1,5
PO1VR,5
JEX8I,5
JEX8I,1
JEX8I,2
JEX8I,4
SM0VU,5
SM0VU,1
SM0VU,4
SM0VU,7
SM0VU,2
6MLMK,5
FBJAE,5
G1KDZ,5
QR8ZF,4
QR8ZF,8
QR8ZF,5
U8F2V,5
EC5K7,5
AQIXN,2
AQIXN,1
AQIXN,3
U7ERB,5
TZCLF,3
TZCLF,4
CGRKU,7
CGRKU,5
CGRKU,6
CGRKU,9
Y6Y74,5
8EREE,5
4WUXY,4
4WUXY,10
4WUXY,7
4WUXY,12
4WUXY,5
IDI5J,5
CHIKL,6
CHIKL,8
CHIKL,5
CHIKL,4
EG7ZO,5
88EZF,5
I1U5Q,5
OIO4B,5
MNFNU,5
MNFNU,4
MNFNU,13
MNFNU,8
PNQUM,3
PNQUM,4
6ZL6M,5
XHS93,5
81DTP,5
TJVF1,5
EP5YP,4
EP5YP,10
7BPI4,5
33G16,5
HIC22,5
6GJ2J,4
6GJ2J,2
6GJ2J,5
6GJ2J,6
6GJ2J,8
GTLBN,8
GTLBN,1
GTLBN,4
GTLBN,2
GTLBN,5
GTLBN,6
MPSS2,5
794H6,5
9TD4W,5
LMDPV,6
LMDPV,4
LMDPV,3
Z9PEX,4
Z9PEX,1
Z9PEX,2
Z9PEX,5
Z9PEX,7
Z9PEX,8
JXIRH,5
FQZX5,5
1H7HX,5
I6UBH,5
3QWRZ,4
3QWRZ,3
8J9OY,5
J0CWC,5
EGK7E,5
NEHN1,5
IIEWY,11
IIEWY,4
IIEWY,2
LATN2,5
Y14HA,5
7QCG5,5
ACD7N,4
501MK,5
7VFKG,5
K5C5C,11
K5C5C,4
P8XPN,11
P8XPN,4
P8XPN,5
0VHFN,5
0VHFN,6
0VHFN,2
0VHFN,4
0VHFN,3
6E8H2,5
7NEDS,5
JMT6S,6
JMT6S,1
JMT6S,5
JMT6S,4
0L6Q6,5
SLSRB,5
MEC6F,5
QCSG7,5
H5BLO,5
QU1Z7,7
MKTRG,2
MKTRG,4
EWWI9,5
EWWI9,1
EWWI9,9
EWWI9,7
EWWI9,4
5P6RP,5
UF88X,5
UF88X,7
UF88X,4
QH865,5
QH865,4
QH865,6
ORR8N,5
AKLB8,6
AKLB8,1
AKLB8,5
AKLB8,4
EVAGF,5
P8RR5,5
ITQZZ,5
T77RZ,5
2K2XR,5
KL0C6,5
W9D0H,5
J83HW,5
K31QV,5
P9OLI,5
EKOS4,5
HPA8E,5
HLVE7,4
HLVE7,5
1JT3E,5
PQ7C3,5
R4ZZ6,5
H0X3N,4
H0X3N,5
H0X3N,12
H0X3N,9
O9YLN,5
J04RY,5
OF9BQ,5
D5IFZ,5
4BH0K,5
ARG3W,5
52J4Q,5
463XV,5
VBHFH,5
ZHD1A,5
ZHD1A,10
ZHD1A,4
ZHD1A,1
NIQ27,4
NIQ27,1
NIQ27,9
NIQ27,7
GBSKR,5
IQ5FP,5
FICPW,5
D3YDF,5
CQHFW,5
2K3T5,5
T4HPH,5
NA9C5,5
QU8NY,5
R39TU,4
R39TU,5
R39TU,2
R39TU,6
R39TU,7
XGX21,5
0MMAD,4
0MMAD,11
7AORT,5
LY5SB,11
7MAIF,4
