condado,ciudad,cantidad_restaurantes,categoria_cantidad_restaurantes,anio,puntuacion_promedio,categoria_puntuacion
Alachua,Alachua,8,Rango Medio,2024,4.6,Excelente
Alachua,Archer,3,Pocos Restaurantes,2024,3.5,Regular
Alachua,Gainesville,236,Alta concentración,2024,4.2,Buena
Alachua,High Springs,14,Rango Medio,2024,4.1,Buena
Alachua,Jonesville,5,Pocos Restaurantes,2024,4.3,Buena
Alachua,Newberry,26,Rango Medio,2024,4.3,Buena
Alachua,Waldo,2,Pocos Restaurantes,2024,4.5,Excelente
Alachua,gainesville,144,Alta concentración,2023,4.3,Buena
Alachua,gainesville,144,Alta concentración,2024,4.3,Buena
Baker,Macclenny,24,Rango Medio,2024,4.2,Buena
Bay,Callaway,6,Rango Medio,2024,3.8,Regular
Bay,Lynn Haven,11,Rango Medio,2024,4.2,Buena
Bay,Mexico Beach,2,Pocos Restaurantes,2024,4.6,Excelente
Bay,Panama City,112,Alta concentración,2024,4.3,Buena
Bay,Panama City Beach,75,Alta concentración,2024,4.3,Buena
Bay,Southport,6,Rango Medio,2024,3.8,Regular
Bradford,Lawtey,3,Pocos Restaurantes,2024,4.6,Excelente
Bradford,Starke,3,Pocos Restaurantes,2024,4.1,Buena
Brevard,Cape Canaveral,8,Rango Medio,2024,4.3,Buena
Brevard,Cocoa,77,Alta concentración,2024,4.4,Buena
Brevard,Cocoa Beach,15,Rango Medio,2024,4.4,Buena
Brevard,Indialantic,6,Rango Medio,2024,4.1,Buena
Brevard,Indian Harbour Beach,8,Rango Medio,2024,4.4,Buena
Brevard,Malabar,3,Pocos Restaurantes,2024,4.1,Buena
Brevard,Melbourne,154,Alta concentración,2024,4.2,Buena
Brevard,Melbourne Beach,5,Pocos Restaurantes,2024,4.0,Buena
Brevard,Melbourne Village,3,Pocos Restaurantes,2024,4.0,Buena
Brevard,Merritt Island,60,Rango Medio,2024,4.4,Buena
Brevard,Micco,2,Pocos Restaurantes,2024,4.5,Excelente
Brevard,Mims,4,Pocos Restaurantes,2024,4.4,Buena
Brevard,Palm Bay,53,Rango Medio,2024,4.3,Buena
Brevard,Palm Shores,2,Pocos Restaurantes,2024,4.8,Excelente
Brevard,Port Canaveral,3,Pocos Restaurantes,2024,4.8,Excelente
Brevard,Rockledge,51,Rango Medio,2024,4.2,Buena
Brevard,Satellite Beach,25,Rango Medio,2024,4.5,Excelente
Brevard,Titusville,34,Rango Medio,2024,4.1,Buena
Brevard,West Melbourne,13,Rango Medio,2024,3.8,Regular
Brevard,mims,337,Alta concentración,2023,4.2,Buena
Brevard,mims,337,Alta concentración,2024,4.3,Buena
Broward,Coconut Creek,27,Rango Medio,2024,4.3,Buena
Broward,Cooper City,21,Rango Medio,2024,4.5,Buena
Broward,Coral Springs,126,Alta concentración,2024,4.3,Buena
Broward,Dania Beach,19,Rango Medio,2024,4.3,Buena
Broward,Davie,135,Alta concentración,2024,4.2,Buena
Broward,Deerfield Beach,68,Rango Medio,2024,4.2,Buena
Broward,Fort Lauderdale,338,Alta concentración,2024,4.2,Buena
Broward,Hallandale Beach,57,Rango Medio,2024,4.4,Buena
Broward,Hollywood,199,Alta concentración,2024,4.3,Buena
Broward,Lauderdale Lakes,20,Rango Medio,2024,4.1,Buena
Broward,Lauderhill,70,Alta concentración,2024,4.4,Buena
Broward,Lighthouse Point,6,Rango Medio,2024,3.3,Regular
Broward,Margate,52,Rango Medio,2024,4.3,Buena
Broward,Miramar,72,Alta concentración,2024,4.2,Buena
Broward,North Lauderdale,30,Rango Medio,2024,4.3,Buena
Broward,Oakland Park,42,Rango Medio,2024,4.6,Excelente
Broward,Parkland,3,Pocos Restaurantes,2024,4.5,Excelente
Broward,Pembroke Park,9,Rango Medio,2024,4.0,Buena
Broward,Pembroke Pines,154,Alta concentración,2024,4.2,Buena
Broward,Plantation,75,Alta concentración,2024,4.2,Buena
Broward,Pompano Beach,137,Alta concentración,2024,4.2,Buena
Broward,Sea Ranch Lakes,3,Pocos Restaurantes,2024,3.7,Regular
Broward,Southwest Ranches,8,Rango Medio,2024,4.4,Buena
Broward,Sunrise,95,Alta concentración,2024,4.2,Buena
Broward,Tamarac,35,Rango Medio,2024,4.4,Buena
Broward,West Park,15,Rango Medio,2024,4.1,Buena
Broward,Weston,27,Rango Medio,2024,4.1,Buena
Broward,Wilton Manors,30,Rango Medio,2024,4.4,Buena
Calhoun,Blountstown,3,Pocos Restaurantes,2024,3.9,Regular
Charlotte,Placida,3,Pocos Restaurantes,2024,3.8,Regular
Charlotte,Port Charlotte,78,Alta concentración,2024,4.2,Buena
Charlotte,Punta Gorda,45,Rango Medio,2024,4.4,Buena
Charlotte,placida,66,Rango Medio,2023,4.3,Buena
Charlotte,placida,66,Rango Medio,2024,4.3,Buena
Citrus,Beverly Hills,3,Pocos Restaurantes,2024,3.9,Regular
Citrus,Crystal River,21,Rango Medio,2024,4.4,Buena
Citrus,Floral City,8,Rango Medio,2024,4.5,Buena
Citrus,Hernando,15,Rango Medio,2024,4.5,Buena
Citrus,Homosassa,10,Rango Medio,2024,4.3,Buena
Citrus,Inverness,24,Rango Medio,2024,3.9,Regular
Citrus,Lecanto,4,Pocos Restaurantes,2024,4.8,Excelente
Citrus,crystal river,46,Rango Medio,2023,4.3,Buena
Citrus,crystal river,46,Rango Medio,2024,4.3,Buena
Clay,Fleming Island,17,Rango Medio,2024,4.3,Buena
Clay,Green Cove Springs,11,Rango Medio,2024,4.6,Excelente
Clay,Keystone Heights,8,Rango Medio,2024,3.8,Regular
Clay,Middleburg,20,Rango Medio,2024,3.9,Regular
Clay,Orange Park,68,Rango Medio,2024,4.2,Buena
Collier,Ave Maria,2,Pocos Restaurantes,2024,4.6,Excelente
Collier,Everglades City,10,Rango Medio,2024,4.2,Buena
Collier,Goodland,2,Pocos Restaurantes,2024,3.7,Regular
Collier,Immokalee,16,Rango Medio,2024,4.0,Buena
Collier,Marco Island,39,Rango Medio,2024,4.3,Buena
Collier,Naples,277,Alta concentración,2024,4.2,Buena
Collier,Ochopee,3,Pocos Restaurantes,2024,2.8,Regular
Collier,naples,265,Alta concentración,2023,4.2,Buena
Collier,naples,265,Alta concentración,2024,4.3,Buena
Columbia,Lake City,50,Rango Medio,2024,4.2,Buena
Columbia,lake city,28,Rango Medio,2023,4.2,Buena
Columbia,lake city,28,Rango Medio,2024,4.3,Buena
DeSoto,Arcadia,25,Rango Medio,2024,4.2,Buena
Dixie,Cross City,3,Pocos Restaurantes,2024,4.1,Buena
Dixie,Old Town,2,Pocos Restaurantes,2024,4.8,Excelente
Dixie,cross city,2,Pocos Restaurantes,2023,4.1,Buena
Dixie,cross city,2,Pocos Restaurantes,2024,4.3,Buena
Duval,Atlantic Beach,26,Rango Medio,2024,4.3,Buena
Duval,Jacksonville,816,Alta concentración,2024,4.2,Buena
Duval,Jacksonville Beach,67,Rango Medio,2024,4.2,Buena
Duval,Mayport,3,Pocos Restaurantes,2024,3.9,Regular
Duval,Neptune Beach,9,Rango Medio,2024,4.2,Buena
Duval,jacksonville,394,Alta concentración,2023,4.3,Buena
Duval,jacksonville,394,Alta concentración,2024,4.3,Buena
Escambia,Cantonment,8,Rango Medio,2024,4.3,Buena
Escambia,Molino,3,Pocos Restaurantes,2024,4.8,Excelente
Escambia,Pensacola,303,Alta concentración,2024,4.3,Buena
Escambia,Pensacola Beach,11,Rango Medio,2024,4.5,Buena
Escambia,pensacola,205,Alta concentración,2023,4.3,Buena
Escambia,pensacola,205,Alta concentración,2024,4.3,Buena
Flagler,Bunnell,25,Rango Medio,2024,4.6,Excelente
Flagler,Flagler Beach,31,Rango Medio,2024,4.6,Excelente
Flagler,Palm Coast,53,Rango Medio,2024,4.2,Buena
Flagler,bunnell,53,Rango Medio,2023,4.1,Buena
