name	addr:street	addr:city	addr:state	amenity	@lat	@lon
Titusville Mall					28.5754724	-80.8026400
Landmark Shopping Center					28.0687299	-82.4362980
LandMark Plaza					28.0687110	-82.4370678
Ellenton Premium Outlets	Factory Shops Boulevard	Ellenton			27.5343346	-82.5067530
CocoWalk	Grand Avenue	Coconut Grove			25.7286438	-80.2420384
RK Village Plaza - Raanan Katz Shopping Center					25.9442458	-80.1213624
Legacy Place					26.8412755	-80.0915965
Market Street At Heath Brook					29.1401346	-82.1920970
Palm Beach Outlet	Palm Beach Lakes Boulevard	West Palm Beach	FL		26.7252155	-80.0870785
Tin City	5th Avenue South	Naples	FL		26.1412692	-81.7904750
Orlando International Premium Outlet	International Dr				28.4750673	-81.4514825
European Village					29.5716167	-81.1910400
The Grove Shoppes					29.8971818	-81.3136977
The UPS Store #6657	Old Brick Road	Windermere	FL		28.4500972	-81.5635356
Anchor Shops & Parking					25.7890096	-80.1305867
Homestead Towne Square					25.4797175	-80.4630377
Miami Design District	Northeast 39th Street	Miami	FL		25.8127937	-80.1923326
Lincoln Center	Lincoln Road	Miami Beach	FL		25.7902007	-80.1352861
Wellington Mall					26.6464251	-80.2085220
Shout Supermarket					26.7136113	-80.0516669
Chiefland Regional Shopping Center	North Young Boulevard	Chiefland			29.5011897	-82.8712249
Upper Buena Vista					25.8219409	-80.1921478
ONE DAYTONA					29.1919670	-81.0708903
Thrift Life	San Marco Street	Saint Augustine	FL		29.8767019	-81.3280217
Natural Food Market Place					25.7879465	-80.1413378
The Village at Hunter's Lake					28.1395688	-82.3578079
Fashion Square Mall					28.5563111	-81.3406485
Plaza 800					26.1415225	-81.7957563
Shoppes of Winder Oaks	Conroy Windermere Road	Orlando	FL		28.4928573	-81.4742530
Concorde Plaza					25.9531761	-80.1440652
Southgate Shopping Center					27.4732998	-81.4443809
Glengary Shoppes	South Tamiami Trail	Sarasota	FL		27.2963430	-82.5323746
Crestwood Square	Souther Blvd	Royal Palm Beach	FL		26.6835599	-80.2454772
Middleton Downtown					28.7477287	-82.0096243
Shoppes at Paradise Pointe					30.4047305	-86.6037264
Perry Plaza					30.4056793	-86.6040399
Sparkman Wharf	Channelside Drive	Tampa	FL		27.9433104	-82.4469057
University Mall	E Fowler Ave				28.0575154	-82.4344539
DeSoto Square Mall					27.4652957	-82.5667562
Brandon Mall	Brandon Town Center Drive	Brandon	FL		27.9320640	-82.3256756
					27.9364736	-82.2428065
Lakeview Plaza	Cypress Edge Drive	Palm Coast	FL		29.5557006	-81.2254811
Sawgrass Mills	Sawgrass Mills Circle	Sunrise	FL		26.1516235	-80.3213439
Rutland Plaza					27.8297604	-82.6492936
Dezerland Park Orlando	International Drive	Orlando	FL		28.4687179	-81.4476281
The Mall at Millenia	Conroy Road	Orlando	FL		28.4855696	-81.4316251
Boynton Beach Mall	Congress Avenue	Boynton Beach			26.5354599	-80.0952212
					26.5354109	-80.0959811
The Mall at Wellington Green	W Forest Hill Boulevard	Wellington			26.6462999	-80.2085742
Miami International Mall	Northwest 107th Avenue	Miami	FL		25.7868086	-80.3650449
Treasure Coast Square Mall	Northwest Mall Loop	Jensen Beach	FL		27.2416080	-80.2747994
Promenade at Coconut Creek					26.2839108	-80.1878971
Melbourne Square Mall	West New Haven Avenue	Melbourne	FL		28.0815707	-80.6494934
Westfield Citrus Park					28.0689479	-82.5767217
	Kings Highway				27.0042427	-82.0527751
Dolphin Mall	Northwest 12th Street	Miami	FL		25.7877487	-80.3806714
The Shops at Wiregrass					28.1885437	-82.3490274
East Towne Center					28.5485623	-81.6810934
The Gardens Mall					26.8481558	-80.0855346
Lakeland Square Mall		Lakeland			28.0918336	-81.9781277
The Florida Mall	South Orange Blossom Trail	Orlando	FL		28.4454182	-81.3950816
Southland Mall	South Dixie Highway	Cutler Bay	FL		25.5746339	-80.3689072
Sweets Plaza	International Drive	Orlando	FL		28.4708350	-81.4510743
Quesada Commons					27.0099668	-82.1321728
Dadeland Mall	North Kendall Drive	Miami	FL		25.6906548	-80.3124954
Lakeshore Mall	US Highway 27 North	Sebring	FL		27.4899963	-81.4871172
Shopping Plaza	Mall Perimeter Dr	Clearwater	FL		27.9569009	-82.7252012
Shopping Plaza	Gulf to Bay Boulevard	Clearwater	FL		27.9590999	-82.7266573
Shopping Plaza	Mall Perimeter Dr	Clearwater	FL		27.9575716	-82.7267071
Aventura Mall	Biscayne Boulevard	Aventura	FL		25.9567729	-80.1428121
Westfield Broward Mall	West Broward Boulevard	Plantation			26.1177888	-80.2547287
					26.1219245	-80.2423639
					26.1224808	-80.2434277
Searstown Mall					28.5754641	-80.8027220
The Oaks Mall	West Newberry Road	Gainesville	FL		29.6561334	-82.4114650
					28.1052244	-81.6383732
					28.2277238	-81.6454016
Tyrone Square Mall	22nd Avenue North	Saint Petersburg	FL		27.7933605	-82.7329970
Lake Square Mall	US Highway 441	Leesburg	FL		28.8257876	-81.7845331
Port Charlotte Town Center					27.0090685	-82.1473273
Pinellas Park Square		Pinellas Park	FL		27.8736250	-82.7060518
Panama City Mall	Martin Luther King Jr	Panama City	FL		30.1865764	-85.6478747
Pembroke Lakes Mall	Pines Boulevard	Pembroke Pines	FL		26.0105945	-80.3041400
					26.0058934	-80.2935666
					28.5570715	-80.8042107
Merritt Square Mall					28.3543465	-80.6868795
Gulf Coast Town Center	Gulf Coast Main Street	Fort Myers	FL		26.4873997	-81.7887304
