id_nombre,nombre,direccion,id_ciudad,ciudad,codigo_postal,latitud,longitud,puntuacion_yelp,categories,puntuacion_usuarios,anio,analisis_sentimientos
0002,London Heights British Pub,7701 N Nebraska Ave,RGTW,Tampa,33664,28.0177637,-82.4510332,3.5,"Bars, Pubs, Sports Bars, Nightlife, Restaurants, British, Burgers, Breakfast & Brunch",3.9,2017,1.0
0013,Chulas Mexican Grill,11061 Spring Hill Dr,I0WF,Spring Hill,34610,28.4617699,-82.541448,3.5,"Mexican, Restaurants",3.1,2017,1.0
0015,Twistee Treat - Spring Hill II,1329 Commercial Way,I0WF,Spring Hill,34610,28.452841,-82.631433,3.5,"Food, Desserts, Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs, Juice Bars & Smoothies",3.8,2017,1.0
0018,Mr. Dunderbak's,14929 Bruce B Downs Blvd,RGTW,Tampa,33664,28.083089,-82.411907,4.5,"Beer, Wine & Spirits, Food, Pubs, German, American (Traditional), Restaurants, Bars, Nightlife",4.6,2017,1.0
002e,Al-Sham Palace,19651 Bruce B Downs Blvd,RGTW,Tampa,33664,28.153027,-82.352353,4.5,"Restaurants, Chicken Wings, Mediterranean, Desserts, Sandwiches, Food",4.4,2017,1.0
0038,Old Southeast Market,1700 3rd St S,9EV3,San Petersburgo,33730,27.7534309604,-82.63671197,5.0,"Local Services, Food, Restaurants, Convenience Stores, Grocery, Delis, Propane, Specialty Food, Coffee & Tea, Poke",4.9,2017,1.0
003c,Glory Days Grill,16553 Pointe Village Dr,1GQ7,Lutz,33559,28.0427840665075,-82.53273196492749,3.6,"American (Traditional), Sports Bars, Nightlife, Chicken Wings, Bars, Restaurants",3.7,2017,1.0
004f,GiGi's Pizza & Pasta,8530 Ridge Rd,3IHW,New Port Richey,34655,28.2798977812,-82.6734955267,4.0,"Italian, Restaurants, Pizza",3.0,2017,0.5
0057,Yamato Japanese Steakhouse & Sushi Bar,"28347 Paseo Dr, Ste 150",CQ72,Wesley Chapel,33545,28.1885468235,-82.3468945497,3.0,"Steakhouses, Japanese, Sushi Bars, Restaurants",3.2,2017,1.0
005f,Casa Ludovico,1710 Alt 19,IKXB,Palm Harbor,34685,28.0837051826,-82.76704714310002,4.0,"Restaurants, Nightlife, Bars, Italian, Wine Bars",3.7,2017,1.0
006c,Adriano's Rosie's Cafe,2745 E Bay Dr,LIFE,Largo,33778,27.9161751,-82.7585918,4.0,"American (Traditional), Restaurants, Italian, Breakfast & Brunch, Greek",1.0,2017,1.0
0078,Busy Bee Snak Shop,7345 49th St,SJ01,Pinellas Park,33782,27.8386081,-82.6996523,4.0,"Restaurants, American (Traditional), Armenian, Desserts, Food, Breakfast & Brunch",4.3,2017,1.0
0082,PaniniRiffic,6905 N Orleans Ave,RGTW,Tampa,33664,28.0110352,-82.47309,3.0,"Burgers, Restaurants, Food, Cuban, Comfort Food, American (Traditional), Food Trucks",1.0,2017,0.5
0084,Jin China,10041 E Adamo Dr,RGTW,Tampa,33664,27.9430052,-82.3365132,2.5,"Chinese, Restaurants",1.0,2017,1.0
00a2,The Blind Tiger Cafe - Ybor City,1901 E 7th Ave,RGTW,Tampa,33664,27.9601407,-82.4378181,4.5,"Shopping, Vegan, Vegetarian, Beer, Wine & Spirits, Sandwiches, Food, Bagels, Bakeries, Coffee & Tea, Men's Clothing, American (Traditional), Restaurants, Women's Clothing, Breakfast & Brunch, Acai Bowls, Fashion, Cafes",4.5,2017,1.0
00a3,Sazon Latino,"1915 Drew St, Ste 1",MCCU,Clearwater,33769,27.9677076,-82.7585014,5.0,"Specialty Food, Local Flavor, Latin American, Food, Restaurants, Ethnic Food",4.7,2017,1.0
00b4,Clean Eatz Tampa,"3838 W Neptune St, Ste D2",RGTW,Tampa,33664,27.9297206,-82.5076338,4.0,"Cafes, Salad, Caterers, Event Planning & Services, Juice Bars & Smoothies, Restaurants, Food, Sandwiches, American (Traditional)",5.0,2017,1.0
00b9,Mamas Kitchen,5524 S Dale Mabry Hwy,RGTW,Tampa,33664,27.950644541935485,-82.53650645806452,4.4,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",4.2,2017,1.0
00fc,Salty's Island Bar & Grille,437 S Gulfview Blvd,EXHF,Clearwater Beach,33767,27.969764,-82.829336,4.0,"Mexican, American (New), Seafood, Bars, Sandwiches, Restaurants, Nightlife",3.9,2017,1.0
0123,Express Cafe,349 Main St,L2T6,Dunedin,34698,28.0115122375,-82.7887154585,4.0,"Restaurants, Juice Bars & Smoothies, Food, Cafes, Coffee & Tea, Modern European, Sandwiches",5.0,2017,1.0
0124,Chopstick Express,3946 4th St N,9EV3,San Petersburgo,33730,27.8082326777,-82.638924,4.0,"Restaurants, Japanese, Chinese, Soup",4.3,2017,1.0
012a,The Brown Boxer Pub & Grille,26133 US Hwy 19 N,MCCU,Clearwater,33769,28.0100495,-82.7298736,3.0,"Nightlife, Bars, Food, Sports Bars, Restaurants, Beer, Wine & Spirits, American (Traditional)",4.0,2017,1.0
0147,China Gate,12919 Walsingham Rd,LIFE,Largo,33778,27.8814892334,-82.8175278552,3.5,"Chinese, Restaurants",3.8,2017,1.0
015b,The Ravioli Company,5130 S Dale Mabry Hwy,RGTW,Tampa,33664,27.89062,-82.505933,4.5,"Restaurants, Event Planning & Services, Caterers, Specialty Food, Pasta Shops, Food, Italian",4.8,2017,1.0
017d,High & Dry Grill,61 Causeway Blvd,L2T6,Dunedin,34698,28.0561887448,-82.8071894869,4.0,"Active Life, Restaurants, Shaved Ice, Beer Bar, Food, American (New), Nightlife, Sandwiches, Bars, Beaches, Local Flavor, Tiki Bars, American (Traditional)",3.8,2017,1.0
017e,Portillo's - Tampa,2102 E Fowler Ave,RGTW,Tampa,33664,28.0551354184,-82.4384075403,4.0,"Hot Dogs, Salad, Burgers, American (Traditional), Restaurants",3.8,2017,1.0
01a9,Chica's Taco Bar,2542 N McMullen Booth Rd,MCCU,Clearwater,33769,28.0141879553,-82.7090542316,3.5,"Tacos, Restaurants, Southern, Mexican",3.5,2017,1.0
01d6,Mandy's Restaurant,"4025 W Waters Ave, Ste 101",RGTW,Tampa,33664,28.0258138,-82.5113635522,4.5,"Sandwiches, Restaurants, Cuban, Mexican",4.4,2017,1.0
01fc,Lorna's One Stop Jerk Center Restaurant,2108 N Howard Ave,RGTW,Tampa,33664,27.9603339,-82.483016,4.0,"Restaurants, Caribbean, Chinese",3.8,2017,1.0
022d,Bazille,2223 N Westshore Blvd,RGTW,Tampa,33664,27.9638334,-82.5224436,4.5,"Cafes, Bars, American (New), Restaurants, Cocktail Bars, Nightlife, Lounges, Comfort Food",4.5,2017,1.0
0238,Floridan Lounge,905 N Florida Ave,RGTW,Tampa,33664,27.952083,-82.458418,4.5,"Mediterranean, Nightlife, Bars, Lounges, Restaurants",4.2,2017,1.0
0239,Sioux City Steakhouse,8515 Little Rd,3IHW,New Port Richey,34655,28.281002,-82.677738,3.0,"American (Traditional), Nightlife, Steakhouses, Caterers, Event Planning & Services, Bars, Restaurants",3.2,2017,1.0
023f,Mana Mana Middle Eastern Restaurant,530 Park St,MCCU,Clearwater,33769,27.9649007701,-82.7988444641,4.5,"Kosher, Restaurants, Middle Eastern, Mediterranean",4.7,2017,1.0
025a,La Guagua Salsabor,18905 N Dale Mabry,1GQ7,Lutz,33559,28.150541,-82.492218,4.0,"Food, Restaurants, Caribbean, Food Trucks, Latin American, Food Stands, Puerto Rican",4.5,2017,1.0
025d,Marialicias Mexican Restaurant,530 Cleveland St,MCCU,Clearwater,33769,27.9657747139,-82.798771055,3.0,"Restaurants, Mexican",3.1,2017,1.0
0261,Tsunami Japanese Steakhouse,2176 Tyrone Blvd N,9EV3,San Petersburgo,33730,27.7899621,-82.7262212,3.0,"Steakhouses, Restaurants, Sushi Bars, Japanese",3.2,2017,1.0
0265,Fratello's Pizzeria,459 Athens St,3IGC,Tarpon Springs,34689,28.1539873,-82.7602814,4.0,"Italian, American (Traditional), Specialty Food, Food, Chicken Wings, Pizza, Pasta Shops, Sicilian, Restaurants, Salad, Food Delivery Services",4.1,2017,1.0
0267,Massimos Pizza Subs and Salads,6146 N US Highway 41,20PF,Apollo Beach,33572,27.7669263842,-82.3951015994,4.0,"Food, Restaurants, Sandwiches, Bakeries, Salad, Ethnic Food, Specialty Food, Italian, Pizza",4.1,2017,1.0
0294,Buddy Freddys Restaurant,1101 Goldfinch Dr,7QXG,Plant City,33567,28.025117000000005,-82.1480323,3.5,"Southern, Buffets, Restaurants",3.5,2017,1.0
02a2,Cicis,1560 North Mcmullen Booth Rd,MCCU,Clearwater,33769,27.96576361667083,-82.5808871042125,2.6,"Food, Salad, Restaurants, Pizza, Desserts",2.8,2017,1.0
02a4,Lanna Thai and Sushi Restaurant,4871 Park St N,9EV3,San Petersburgo,33730,27.8160903,-82.7534293,4.0,"Thai, Restaurants",4.2,2017,1.0
02bb,Little Greek,2245 Gulf To Bay Blvd,MCCU,Clearwater,33769,28.03192032141818,-82.7200523481909,3.9,"Greek, Restaurants",3.5,2017,1.0
02bd,D.P. Dough,500 S Howard Ave,RGTW,Tampa,33664,27.9395733,-82.4826726,3.5,"Pizza, Chicken Wings, Food Delivery Services, Restaurants, Food",3.5,2017,1.0
02c0,Far East Chinese Restaurant,5022 E 10th Ave,RGTW,Tampa,33664,27.9644881,-82.4008771,4.5,"Chinese, Restaurants",4.2,2017,1.0
