id_nombre,nombre,analisis_sentimientos,latitud,longitud,categories,puntuacion_usuarios,direccion,id_ciudad,ciudad,codigo_postal,estado,anio
824a,3 Sisters Ice Cream Palace,1.0,28.9773311,-81.2315098,"Ice cream shop, Restaurant",4.5,101 E Ohio Ave # A,I53C,Lake Helen,32744.0,Florida,2024
1b78,5 o'Clock Somewhere Bar and Grill,1.0,26.0192874,-80.1172881,"Bar & grill, Restaurant, Seafood restaurant, Water sports equipment rental service",4.2,1112 N Ocean Dr,D3WC,Hollywood,33019.0,Florida,2024
8bfa,536 TANDOOR INDIAN CUISINE,1.0,26.027532,-80.24939,"Indian restaurant, Restaurant",4.1,2100 N University Dr,L1E9,Pembroke Pines,33024.0,Florida,2024
a7d8,83 West & 29 North at 83 West,1.0,29.1352981,-83.0298431,"Floridian restaurant, Cocktail bar, Restaurant",4.2,310 Dock St,HIQ0,Cedar Key,32625.0,Florida,2024
c372,A1A Burrito Works,1.0,29.8454113,-81.2676707,"Taco restaurant, Mexican restaurant, Restaurant",4.7,671 A1A Beach Blvd,EQY1,St. Augustine,32080.0,Florida,2024
80dd,AJ's Grayton Beach,1.0,30.335939,-86.1670955,"Seafood restaurant, Bar, Brunch restaurant, Live music venue, Restaurant, Sushi restaurant",4.0,63 Defuniak St,A03X,Santa Rosa Beach,32459.0,Florida,2024
29ed,AROMI,1.0,25.8592903,-80.1199609,"Restaurant, Bar, Breakfast restaurant, Brunch restaurant, Gluten-free restaurant, Health food restaurant, Italian restaurant, Lounge, Pan-Latin restaurant, Wedding venue",4.2,7330 Ocean Terrace,2ZVA,Miami Beach,33141.0,Florida,2024
9d9c,Aapna Parivaar,1.0,28.4708683,-81.4511159,"Indian restaurant, Asian fusion restaurant, Biryani restaurant, Halal restaurant, Middle Eastern restaurant, Pakistani restaurant, Punjabi restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant",4.3,5135 International Dr #6,O990,Orlando,32819.0,Florida,2024
0440,Abbalé Telavivian Kitchen,1.0,25.7688647,-80.1366033,Restaurant,4.4,864 Commerce St,2ZVA,Miami Beach,33139.0,Florida,2024
2dc7,Ace Cafe Orlando,1.0,28.5469777,-81.3810638,"American restaurant, Bar, Brunch restaurant, Restaurant",4.5,100 W Livingston St,O990,Orlando,32801.0,Florida,2024
e759,Al Basha Grill,1.0,25.7882694,-80.1315917,"Restaurant, Halal restaurant, Mediterranean restaurant, Middle Eastern restaurant",4.2,1533 Washington Ave,2ZVA,Miami Beach,33139.0,Florida,2024
e6a3,Alfredo's Italian Cuisine,1.0,27.9364112,-82.2707237,"Italian restaurant, Restaurant",4.3,905 E Brandon Blvd,W2W7,Brandon,33511.0,Florida,2024
2047,Alices Gulf Coast Cuisine & Wine Bar,1.0,30.408987,-87.2338485,"Restaurant, Wine bar",4.4,1504 W Intendencia St,YOYE,Pensacola,32502.0,Florida,2024
8dcb,American Social,1.0,27.9387139,-82.454733,"Restaurant, American restaurant, Bar, Gastropub, Sports bar",4.2,601 S Harbour Island Blvd #107,RGTW,Tampa,33602.0,Florida,2024
cf11,Amore Pizzeria,1.0,27.9676424,-82.7661934,"Pizza restaurant, Brazilian restaurant, Meal delivery, Pasta shop, Pizza delivery, Pizza takeaway, Restaurant",4.7,1719 Drew St,MCCU,Clearwater,33755.0,Florida,2024
7e1c,Andalucía Tapas Bar & Restaurant,1.0,26.959573,-80.0867536,Restaurant,4.9,187 Tequesta Dr,C38Y,Jupiter,33469.0,Florida,2024
d1c0,Angelo's Seafood Restaurant,1.0,29.977065,-84.3828422,"Seafood restaurant, Bar",4.2,5 Mashes Sands Rd,RCCT,Panacea,32346.0,Florida,2024
a444,Anna Maria Oyster Bar on the Pier,1.0,27.4659139,-82.6955527,"Seafood restaurant, American restaurant, Bar",4.5,200 Bridge St,MX4F,Bradenton Beach,34217.0,Florida,2024
7702,Applebee's Grill + Bar,1.0,26.7060815,-80.1117473,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",3.7,1975 N Military Trl,AT0H,West Palm Beach,33409.0,Florida,2024
7702,Applebee's Grill + Bar,1.0,30.1587492,-85.5903308,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",3.7,600 N Tyndall Pkwy,CCCI,Callaway,32404.0,Florida,2024
7702,Applebee's Grill + Bar,1.0,30.1834275,-85.8083203,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",3.9,10071 Hutchison Blvd,GQ3B,Panama City Beach,32407.0,Florida,2024
95a1,Arabian Nights Restaurant & Hookah Lounge Orlando,1.0,28.4192565,-81.4651034,"Mediterranean restaurant, Restaurant",4.2,6427 Westwood Blvd,O990,Orlando,32821.0,Florida,2024
7102,Araxi Burger,1.0,25.941148,-80.1477556,"Hamburger restaurant, American restaurant, Bar & grill, Family restaurant, Hot dog restaurant, Kosher restaurant, Restaurant",4.3,17861 Biscayne Blvd,3FVK,Aventura,33160.0,Florida,2024
