,id_nombre,nombre,id_ciudad,ciudad,categories,analisis_sentimientos,puntuacion_usuarios,anio,Good_Punctuation
187,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,4.5,2006,True
188,08c4,Kinjo's Japanese Restaurant,9EV3,San Petersburgo,"Japanese, Sushi Bars, Restaurants",1.0,5.0,2006,True
189,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,4.0,2006,True
190,4c77,St Petersburg Pier,9EV3,San Petersburgo,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",1.0,4.0,2006,True
191,561d,China King,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,4.0,2006,True
192,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",1.0,3.0,2006,False
2,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,3.3,2007,False
5,072b,A Taste of Asia Restaurant,9EV3,San Petersburgo,"Asian Fusion, Restaurants",1.0,1.0,2007,False
9,07b3,The Chattaway,9EV3,San Petersburgo,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)",1.0,5.0,2007,True
27,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,3.0,2007,False
83,53e7,Skyway Jack's,9EV3,San Petersburgo,"Breakfast & Brunch, Restaurants",1.0,5.0,2007,True
96,6252,Parkshore Grill,9EV3,San Petersburgo,"Caterers, American (New), Food, Seafood, American (Traditional), Restaurants, Event Planning & Services, Steakhouses",1.0,4.0,2007,True
106,6c1b,Athenian Garden,9EV3,San Petersburgo,"Specialty Food, Food, Ethnic Food, American (Traditional), Imported Food, Greek, Restaurants",1.0,4.0,2007,True
126,8273,Pacific Wave,9EV3,San Petersburgo,Restaurants,1.0,4.0,2007,True
132,8803,Crab Shack Restaurant,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,3.0,2007,False
134,8927,St. Petersburg Yacht Club,9EV3,San Petersburgo,"Event Planning & Services, Restaurants, American (Traditional), Active Life, Venues & Event Spaces, Boating",1.0,5.0,2007,True
137,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",0.5,2.0,2007,False
138,900b,India Grill,9EV3,San Petersburgo,"Pakistani, Restaurants, Indian",1.0,3.0,2007,False
146,99e3,Schakolad Chocolate Factory,9EV3,San Petersburgo,"Food, Coffee & Tea, Specialty Food, Chocolatiers & Shops, Restaurants, Desserts",1.0,4.0,2007,True
153,a021,Kissin' Cuzzins,9EV3,San Petersburgo,"Restaurants, Breakfast & Brunch, Diners, Sandwiches, Wraps",1.0,4.0,2007,True
154,a1c2,Georgie's Alibi,9EV3,San Petersburgo,"Dance Clubs, Cafes, Bars, Nightlife, Restaurants, Sports Bars, American (Traditional), Gastropubs, Burgers",1.0,4.0,2007,True
161,abe7,Thai Kitchen,9EV3,San Petersburgo,"Restaurants, Thai",1.0,5.0,2007,True
163,b0cb,Columbia Restaurant,9EV3,San Petersburgo,"Spanish, Restaurants",1.0,3.4,2007,False
165,b2fc,Kristina's Cafe,9EV3,San Petersburgo,"American (Traditional), Restaurants, Diners",1.0,3.0,2007,False
178,c693,Primi Urban Cafe,9EV3,San Petersburgo,"Italian, Nightlife, Restaurants, Piano Bars",1.0,5.0,2007,True
180,c820,Joey Brooklyn's Famous Pizza Kitchen,9EV3,San Petersburgo,"Sandwiches, Pizza, Restaurants, Salad",1.0,3.0,2007,False
190,d8d9,Cakes by Carolynn A Special Touch,9EV3,San Petersburgo,"Bakeries, Restaurants, Food",0.5,3.0,2007,False
195,dc36,Art of Sushi,9EV3,San Petersburgo,"Restaurants, Sushi Bars, Asian Fusion, Japanese, Steakhouses",1.0,2.5,2007,False
220,feb0,Garden Restaurant,9EV3,San Petersburgo,"Food Delivery Services, Jazz & Blues, Food, American (Traditional), Arts & Entertainment, Mediterranean, Restaurants, Nightlife",1.0,4.0,2007,True
6,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,3.6,2008,False
8,04f1,Mekong Vietnamese Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese",0.5,1.0,2008,False
13,077d,Estela's Mexican Restaurant,9EV3,San Petersburgo,"Mexican, Ethnic Food, Specialty Food, Restaurants, Food",1.0,3.1,2008,False
15,07b3,The Chattaway,9EV3,San Petersburgo,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)",1.0,5.0,2008,True
17,08ac,4th Street Shrimp Store,9EV3,San Petersburgo,"Restaurants, Nightlife, Burgers, Beer Bar, Bars, Seafood",1.0,4.5,2008,True
22,0ae3,Harold Seltzer's Steak House,9EV3,San Petersburgo,"Restaurants, Steakhouses, American (Traditional), Seafood",1.0,4.0,2008,True
44,18a0,Ha Long Bay,9EV3,San Petersburgo,"Asian Fusion, Restaurants, Cantonese, Dim Sum, Chinese, Vietnamese",1.0,2.0,2008,False
45,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,4.5,2008,True
53,1c0c,Great Wall,9EV3,San Petersburgo,"Restaurants, Chinese",0.5,1.0,2008,False
54,1c1a,Bowled Restaurant,9EV3,San Petersburgo,"Restaurants, American (New)",1.0,2.0,2008,False
68,21e9,Toby's Original Little Italy Pizza,9EV3,San Petersburgo,"Italian, Pizza, Restaurants",1.0,5.0,2008,True
70,2287,Ferg's Sports Bar & Grill,9EV3,San Petersburgo,"Restaurants, Nightlife, American (Traditional), Bars, Sports Bars",1.0,4.0,2008,True
76,23e7,Zapata's Restaurant and Tequila Bar,9EV3,San Petersburgo,"Mexican, Restaurants",1.0,3.0,2008,False
83,26e7,MFA Cafe,9EV3,San Petersburgo,"Breakfast & Brunch, Food, Sandwiches, Coffee & Tea, American (Traditional), American (New), Restaurants",1.0,5.0,2008,True
93,2cac,Tropical Smoothie Cafe,9EV3,San Petersburgo,"Juice Bars & Smoothies, Food, Restaurants, Cafes, Sandwiches, Breakfast & Brunch",1.0,5.0,2008,True
94,2caf,A Corner of England,9EV3,San Petersburgo,"Food, Coffee & Tea, Tea Rooms, Restaurants, Shopping",1.0,4.0,2008,True
101,3156,Mad Fish,9EV3,San Petersburgo,"Restaurants, American (Traditional), Steakhouses, Seafood",1.0,4.0,2008,True
104,3219,Fish Tales,9EV3,San Petersburgo,"Bars, Seafood, Steakhouses, Nightlife, Restaurants, Dive Bars",1.0,4.0,2008,True
116,37d2,Mastry's,9EV3,San Petersburgo,"Bars, Restaurants, Nightlife, American (Traditional)",1.0,4.0,2008,True
118,3891,Romano's Macaroni Grill,9EV3,San Petersburgo,"Restaurants, Italian",1.0,3.0,2008,False
120,39b9,McNally's Neighborhood Grill,9EV3,San Petersburgo,Restaurants,1.0,4.0,2008,True
