id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad
zVBw,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,rKx1,Aberdeen,33472,26.550244,-80.148872
Iu0V,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,IKSE,Alachua,"32601, 32605, 32608",29.7938144,-82.4944226
uEJg,Lake,"32757, 32778, 34748",28.702847,-81.7787021,jcCR,Alexander Springs,32702,29.0802601,-81.5781282
N5CZ,Jackson,"32446, 32448",30.7150882,-85.1894045,1CK3,Alford,32420,30.6938049,-85.3921505
KDuD,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,C6XS,Allandale,32127,29.123989,-80.9802002
1QfI,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,8kEZ,Allentown,32570,30.7626889,-87.0421883
BHbo,Franklin,"32320, 32322",29.7817695,-84.8567932,aklw,Alligator Point,32346,29.8955733,-84.3820381
yJd3,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,XZBO,Altamonte Springs,"32701, 32714",28.6611089,-81.3656242
weFl,Calhoun,"32421, 32424",30.3475302,-85.1894045,QID8,Altha,32421,30.5704721,-85.1271442
pabj,Lafayette,"32066, 32094",30.0299573,-83.2077645,FKF8,Alton,32066,30.052778,-83.138056
1pUW,Lake,"32757, 32778, 34748",28.702847,-81.7787021,82NW,Altoona,32702,28.9658193,-81.6486855
bzkw,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,SrQr,Alturas,33830,27.871693,-81.7150798
df1i,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,6Efg7,Alva,33920,26.7156236,-81.6100797
b8Kv,Nassau,"32034, 32046",30.5927334,-81.8224362,MzWT,Amelia City,32034,30.5900308,-81.4575781
vJeB,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,nD2K,Anclote,34691,28.1761235,-82.7806577
XeYg,Levy,"32621, 32696",29.3178545,-82.820974,Y7HS,Andrews,32618,29.5467474,-82.8909785
Tm1v,Broward,"33004, 33301, 33324",26.190096,-80.365865,WElF,Andytown,33327,26.14502,-80.454277
ZWf1,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,0peW,Anna Maria,34216,27.5311474,-82.7334334
lZke,Marion,"34470, 34481, 34488",29.2787765,-82.12784,GKW3,Anthony,32617,29.2894703,-82.1116645
FsIg,Franklin,"32320, 32322",29.7817695,-84.8567932,UQ21,Apalachicola,32320,29.7257675,-84.9832435
dDzA,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,20PF,Apollo Beach,33572,27.7730836,-82.4075935
lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149
nlCy,DeSoto,"34266, 34269",27.2142078,-81.7787021,UTEY,Arcadia,34266,27.2158826,-81.8584164
MTZW,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,G4GK,Archer,32618,29.5299677,-82.5189969
8R9u,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,Am2m,Argyle,32433,30.7196336,-86.0443827
TzGd,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,t96E,Aripeka,34679,28.4323921,-82.6644072
Hq9w,Jefferson,"32344, 32336",30.4311978,-83.8897057,BEXI,Ashville,32331,30.6165911,-83.6465465
hRzw,Lake,"32757, 32778, 34748",28.702847,-81.7787021,ZZWD,Astatula,34705,28.7097167,-81.7328542
AEmq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,K8M9,Astor,32102,29.1624801,-81.5253491
BJJx,Taylor,"32348, 32356",30.0993767,-83.6773928,aPLS,Athena,32348,29.9879937,-83.4943107
vl61,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,R39Q,Atlantic Beach,32233,30.3344077,-81.398696
H34k,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,FRQq,Atlantis,33462,26.5909025,-80.1008762
joqg,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,kmUI,Atmore,36502,31.0237921,-87.4938708
IKzX,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,HJ2z,AttapulgusAuburndale,32327,28.0652975,-81.7886906
Jglw,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,NDvK,Avalon Beach,32583,30.5371603,-87.1055335
