id_centros_tiendas_negocio,centros_tiendas_negocio,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
IZ370,Oneyda's Bakery,600 Goodlette-Frank Rd #101,V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,34102,26.154754,-81.790528,Florida,,,,,positivo,2024
ALRWQ,Oneyda's Bakery,600 Goodlette-Frank Rd #101,V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,34102,26.154754,-81.790528,Florida,,,,,neutral,2024
RKWCY,7-Eleven,3960 SW 8th St,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33134,25.7641994,-80.2605979,Florida,,,,,positivo,2024
RKWCY,7-Eleven,3960 SW 8th St,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33134,25.7641994,-80.2605979,Florida,,,,,neutral,2024
RKWCY,7-Eleven,3960 SW 8th St,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33134,25.7641994,-80.2605979,Florida,,,,,negativo,2024
UZ8OP,CVS,2454 E Irlo Bronson Memorial Hwy,3aGT,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,110N,Kissimmee,34744,28.279312,-81.3452269,Florida,,,,,negativo,2024
6FNZO,CVS,2454 E Irlo Bronson Memorial Hwy,3aGT,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,110N,Kissimmee,34744,28.279312,-81.3452269,Florida,,,,,positivo,2024
G7LJD,CVS,2454 E Irlo Bronson Memorial Hwy,3aGT,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,110N,Kissimmee,34744,28.279312,-81.3452269,Florida,,,,,neutral,2024
H0PRP,Hud Hud Grocery,4978 Millenia Blvd building 3 suite f,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32839,28.478776,-81.4417183,Florida,,,,,positivo,2024
AVUVW,Hud Hud Grocery,4978 Millenia Blvd building 3 suite f,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32839,28.478776,-81.4417183,Florida,,,,,neutral,2024
QBM1V,GNC,3340 US-19 Spc 3340,D1CU,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,DVM9,Holiday,34691,28.2079461,-82.7379472,Florida,,,,,positivo,2024
84LTF,GNC,3340 US-19 Spc 3340,D1CU,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,DVM9,Holiday,34691,28.2079461,-82.7379472,Florida,,,,,neutral,2024
