id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
NMQM5,Sarasota Auto Rentals Inc,5041 S Tamiami Trail,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34231,27.279187,-82.530413,Florida,,,,,positivo,2024
GQYYA,Sarasota Auto Rentals Inc,5041 S Tamiami Trail,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34231,27.279187,-82.530413,Florida,,,,,negativo,2024
XP2BO,Sarasota Auto Rentals Inc,5041 S Tamiami Trail,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34231,27.279187,-82.530413,Florida,,,,,neutral,2024
AGYVT,XPO Logistics,1301 W 15th St,Qg2F,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,t1zd,Riviera Beach,33404,26.7754863,-80.0734526,Florida,,,,,positivo,2024
GORXH,XPO Logistics,1301 W 15th St,Qg2F,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,t1zd,Riviera Beach,33404,26.7754863,-80.0734526,Florida,,,,,negativo,2024
UTDKI,XPO Logistics,1301 W 15th St,Qg2F,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,t1zd,Riviera Beach,33404,26.7754863,-80.0734526,Florida,,,,,neutral,2024
UQYSG,United Self Mini Storage,1930 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,34689,28.1720538,-82.7497828,Florida,,,,,negativo,2024
IOKEL,United Self Mini Storage,1930 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,34689,28.1720538,-82.7497828,Florida,,,,,positivo,2024
WONCF,United Self Mini Storage,1930 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,34689,28.1720538,-82.7497828,Florida,,,,,neutral,2024
VWY3F,Orlando Limo,6923 Narcoossee Rd Suite 626,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32822,28.4674296,-81.2753813,Florida,,,,,positivo,2024
LI186,Orlando Limo,6923 Narcoossee Rd Suite 626,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32822,28.4674296,-81.2753813,Florida,,,,,negativo,2024
YTMGW,Orlando Limo,6923 Narcoossee Rd Suite 626,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32822,28.4674296,-81.2753813,Florida,,,,,neutral,2024
2OWTD,Johns Luxury Ride Service,33 Privacy Ln,L9w5,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,Gerv,Palm Coast,32164,29.5297356,-81.2085824,Florida,,,,,positivo,2024
HF88L,Johns Luxury Ride Service,33 Privacy Ln,L9w5,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,Gerv,Palm Coast,32164,29.5297356,-81.2085824,Florida,,,,,neutral,2024
UD1DS,Horspower Car Rental / NU Car Rentals,3947 NW 26th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.7997474,-80.2612156,Florida,,,,,positivo,2024
6IV46,Horspower Car Rental / NU Car Rentals,3947 NW 26th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.7997474,-80.2612156,Florida,,,,,negativo,2024
9BD95,Horspower Car Rental / NU Car Rentals,3947 NW 26th St,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.7997474,-80.2612156,Florida,,,,,neutral,2024
61HX4,Skyline Limousine,701 S Howard Ave Suite 106-356,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33606,27.9371645,-82.4833156,Florida,,,,,positivo,2024
KFNSP,Hertz,6934 W Gulf to Lake Hwy,qeXS,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,Z9OC,Crystal River,34429,28.8917897,-82.5499947,Florida,,,,,negativo,2024
KFNSP,Hertz,6934 W Gulf to Lake Hwy,qeXS,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,Z9OC,Crystal River,34429,28.8917897,-82.5499947,Florida,,,,,positivo,2024
KFNSP,Hertz,6934 W Gulf to Lake Hwy,qeXS,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,Z9OC,Crystal River,34429,28.8917897,-82.5499947,Florida,,,,,neutral,2024
ZA83C,abraxi-taxi,2941 Varella Ave,8MDP,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,S5ZE,St. Augustine,32084,29.91986,-81.340825,Florida,,,,,positivo,2024
9KX9H,abraxi-taxi,2941 Varella Ave,8MDP,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,S5ZE,St. Augustine,32084,29.91986,-81.340825,Florida,,,,,neutral,2024
O6W6O,abraxi-taxi,2941 Varella Ave,8MDP,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,S5ZE,St. Augustine,32084,29.91986,-81.340825,Florida,,,,,negativo,2024
H9VYA,Santa Clara Station,NW 12th Ave,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795796,-80.215099,Florida,,,,,negativo,2024
MDOP2,Santa Clara Station,NW 12th Ave,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795796,-80.215099,Florida,,,,,positivo,2024
0ZIHM,Santa Clara Station,NW 12th Ave,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795796,-80.215099,Florida,,,,,neutral,2024
76BLA,Walberto taxi transportation,338 Harold Ave S,QYht,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,KXKM,Lehigh Acres,33973,26.6109986,-81.7372303,Florida,,,,,positivo,2024
4JTAN,Walberto taxi transportation,338 Harold Ave S,QYht,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,KXKM,Lehigh Acres,33973,26.6109986,-81.7372303,Florida,,,,,neutral,2024
XA6PV,Lakeland Station,600 E Main St,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33801,28.0457559,-81.9518862,Florida,,,,,negativo,2024
29080,Lakeland Station,600 E Main St,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33801,28.0457559,-81.9518862,Florida,,,,,positivo,2024
7ZV84,Lakeland Station,600 E Main St,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33801,28.0457559,-81.9518862,Florida,,,,,neutral,2024
U8L8P,The Bike Shop Rentals,1110 Truman Ave,j7LR,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,4S46,Key West,33040,24.5555672,-81.791863,Florida,,,,,positivo,2024
BEU4K,The Bike Shop Rentals,1110 Truman Ave,j7LR,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,4S46,Key West,33040,24.5555672,-81.791863,Florida,,,,,neutral,2024
P3MEI,The Bike Shop Rentals,1110 Truman Ave,j7LR,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,4S46,Key West,33040,24.5555672,-81.791863,Florida,,,,,negativo,2024
YFNRO,Omnibus Express,1501 S Collins St,Rbq6,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,7QXG,Plant City,33566,28.000889,-82.121555,Florida,,,,,positivo,2024
NXTYW,Omnibus Express,1501 S Collins St,Rbq6,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,7QXG,Plant City,33566,28.000889,-82.121555,Florida,,,,,neutral,2024
KRNP3,Omnibus Express,1501 S Collins St,Rbq6,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,7QXG,Plant City,33566,28.000889,-82.121555,Florida,,,,,negativo,2024
GDGG3,Million Air Tallahassee,3254 Capital Cir SW,6dAC,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ML39,Tallahassee,32310,30.3965199,-84.3550169,Florida,,,,,positivo,2024
DXCBM,Million Air Tallahassee,3254 Capital Cir SW,6dAC,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ML39,Tallahassee,32310,30.3965199,-84.3550169,Florida,,,,,neutral,2024
QVKOR,All Bicycles,142 N Federal Hwy,f0AR,Broward,"33004, 33301, 33324",26.190096,-80.365865,W3YB,Deerfield Beach,33441,26.3199091,-80.090093,Florida,,,,,positivo,2024
TROMF,All Bicycles,142 N Federal Hwy,f0AR,Broward,"33004, 33301, 33324",26.190096,-80.365865,W3YB,Deerfield Beach,33441,26.3199091,-80.090093,Florida,,,,,negativo,2024
DL990,All Bicycles,142 N Federal Hwy,f0AR,Broward,"33004, 33301, 33324",26.190096,-80.365865,W3YB,Deerfield Beach,33441,26.3199091,-80.090093,Florida,,,,,neutral,2024
6UHRO,A1A Airport & Limousine Service,1990 NW Boca Raton Blvd,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33432,26.3681039,-80.0898739,Florida,,,,,positivo,2024
NEPG9,A1A Airport & Limousine Service,1990 NW Boca Raton Blvd,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33432,26.3681039,-80.0898739,Florida,,,,,negativo,2024
IF5LD,A1A Airport & Limousine Service,1990 NW Boca Raton Blvd,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33432,26.3681039,-80.0898739,Florida,,,,,neutral,2024
0BSFO,In Motion Mobility - Wheelchair Van and accessible vehicles,2299 NW 108th Ave,Z16K,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,94N1,Doral,33172,25.7946681,-80.3621597,Florida,,,,,positivo,2024
WMM05,In Motion Mobility - Wheelchair Van and accessible vehicles,2299 NW 108th Ave,zT10,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,94N1,Doral,33172,25.7946681,-80.3621597,Florida,,,,,positivo,2024
ZWMGZ,In Motion Mobility - Wheelchair Van and accessible vehicles,2299 NW 108th Ave,Z16K,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,94N1,Doral,33172,25.7946681,-80.3621597,Florida,,,,,neutral,2024
21CS2,In Motion Mobility - Wheelchair Van and accessible vehicles,2299 NW 108th Ave,zT10,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,94N1,Doral,33172,25.7946681,-80.3621597,Florida,,,,,neutral,2024
S5BSG,Hialeah Market,1200 SE 11th Ave,gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,33010,25.811239,-80.258705,Florida,,,,,positivo,2024
37T2C,Hialeah Market,1200 SE 11th Ave,gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,33010,25.811239,-80.258705,Florida,,,,,negativo,2024
7WH57,Hialeah Market,1200 SE 11th Ave,gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,33010,25.811239,-80.258705,Florida,,,,,neutral,2024
B5A9P,South Miami,5949 Sunset Drive South,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33143,25.7050916,-80.2890178,Florida,,,,,positivo,2024
C7XAF,South Miami,5949 Sunset Drive South,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33143,25.7050916,-80.2890178,Florida,,,,,neutral,2024
LG91H,South Miami,5949 Sunset Drive South,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33143,25.7050916,-80.2890178,Florida,,,,,negativo,2024
5AVHL,Budget Car Rental,4644 W Gandy Blvd Ste 2,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33611,27.893005,-82.524155,Florida,,,,,positivo,2024
5AVHL,Budget Car Rental,4644 W Gandy Blvd Ste 2,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33611,27.893005,-82.524155,Florida,,,,,negativo,2024
5AVHL,Budget Car Rental,4644 W Gandy Blvd Ste 2,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33611,27.893005,-82.524155,Florida,,,,,neutral,2024
ROX5I,ONDEVAN CAMPERVAN,1835 E Hallandale Beach Blvd #261,zIYg,Broward,"33004, 33301, 33324",26.190096,-80.365865,IuPc,Hallandale Beach,33009,25.9868417,-80.1288552,Florida,,,,,positivo,2024
I8EGC,ONDEVAN CAMPERVAN,1835 E Hallandale Beach Blvd #261,zIYg,Broward,"33004, 33301, 33324",26.190096,-80.365865,IuPc,Hallandale Beach,33009,25.9868417,-80.1288552,Florida,,,,,neutral,2024
