id_centros_entretenimiento,centros_entretenimiento,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,url_del_negocio,anio,categoria_general,atributo,categoria,ranquing_por_usuario,url
OBPVW,Armed Forces History Museum,2050 34th Way N,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244,Florida,"Museums, Arts & Entertainment",4.5,positivo,,2010,Entretenimiento,,,,
K33AR,Tampa Museum of Art,120 W Gasparilla Plz,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Art Galleries, Arts & Entertainment, Museums, Shopping, Art Museums",3.5,positivo,,2010,Entretenimiento,,,,
QM6BS,Tampa Bay Buccaneers,4201 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Professional Sports Teams, Stadiums & Arenas, Arts & Entertainment",4,negativo,,2010,Entretenimiento,,,,
JIHEQ,Swap Shop,2302 E Hillsborough Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Drive-In Theater, Arts & Entertainment, Flea Markets, Cinema, Shopping",3,positivo,,2010,Entretenimiento,,,,
U3MO8,Sunset Point Cinema Bar & Grille,24095 US Hwy 19 N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Salad, American (Traditional), Restaurants, Arts & Entertainment, Cinema",3.5,positivo,,2010,Entretenimiento,,,,
53A0P,Straz Center for the Performing Arts,1010 N Wc MacInnes Pl,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Community Service/Non-Profit, Arts & Entertainment, Nightlife, Cinema, Performing Arts, Local Services, Music Venues",4,positivo,,2010,Entretenimiento,,,,
6A4AG,St Petersburg Pier,"800 2nd Ave NE, Ste 3002",vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",3,positivo,,2010,Entretenimiento,,,,
C6WVO,St Petersburg Museum of History,335 2nd Ave NE,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Arts & Entertainment, Museums, Shopping, Event Planning & Services, Art Galleries, Venues & Event Spaces",3.5,positivo,,2010,Entretenimiento,,,,
5O7S3,Smugglers Cove Adventure Golf,19463 Gulf Blvd,llVN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,03vv,Indian Shores,33785,27.862801,-82.8484373,Florida,"Mini Golf, Amusement Parks, Active Life, Golf",4,positivo,,2010,Entretenimiento,,,,
7SU36,Regal Park Place & RPX,7200 US Highway 19 North,1U8v,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SJ01,Pinellas Park,33781,27.8428025,-82.6995443,Florida,"Arts & Entertainment, Cinema",3,negativo,,2010,Entretenimiento,,,,
UAB0M,Britton 8 Movies,3938 S Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema",3,positivo,,2010,Entretenimiento,,,,
VTO3X,Busch Gardens Tampa Bay,10165 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Amusement Parks, Botanical Gardens, Arts & Entertainment",3.5,positivo,,2010,Entretenimiento,,,,
ZQW0U,CMX CinéBistro Hyde Park,1609 W Swann Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Bars, Restaurants, Lounges, Nightlife, Cinema, Arts & Entertainment, American (New)",4,positivo,,2010,Entretenimiento,,,,
XBL09,Celebration Station,24546 US Hwy 19 N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Amusement Parks, Mini Golf, Active Life, Arts & Entertainment, Go Karts, Arcades",2.5,negativo,,2010,Entretenimiento,,,,
IWSKO,Tampa Pitcher Show,14416 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"American (New), Arts & Entertainment, Music Venues, Nightlife, Restaurants, Cinema, Event Planning & Services, Venues & Event Spaces",3.5,positivo,,2010,Entretenimiento,,,,
