id_centros_hosteleria,centros_hosteleria,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,anio
RFF2D,Jimmy B's Beach Bar,6200 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Event Planning & Services, Nightlife, Hotels & Travel, American (Traditional), Music Venues, Arts & Entertainment, Caterers, Beer Bar, Bars, Restaurants",3.5,positivo,2010
5T4ET,Sheraton Sand Key Resort,1160 Gulf Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel",3.5,positivo,2010
HGWK4,Shephard's Ocean Flame,619 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Restaurants, Event Planning & Services, Hotels, Seafood, Buffets, American (New), Resorts, Hotels & Travel, Sushi Bars, Breakfast & Brunch",3,positivo,2010
G9JKO,Shephard's Beach Resort,619 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels & Travel, Bars, American (Traditional), Restaurants, Event Planning & Services, Nightlife, Hotels, Resorts",3,neutral,2010
YPI62,Seminole Hard Rock Hotel & Casino Tampa,5223 Orient Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Food, Hotels, Coffee & Tea, Hotels & Travel, Restaurants, Casinos, Burgers, Bars, Nightlife, Arts & Entertainment, Event Planning & Services",2.5,positivo,2010
9C1RZ,Sandpiper Beach Resort,6000 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3.5,positivo,2010
GAKS8,Sandpearl Resort,500 Mandalay Ave,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Resorts",4,positivo,2010
LNQQN,Safety Harbor Resort & Spa Trademark Collection,105 N Bayshore Drive,ID88,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,B8F4,Safety Harbor,34695,27.9908529,-82.6931553,Florida,"Restaurants, Hotels & Travel, Hotels, Beauty & Spas, American (New), Day Spas, Event Planning & Services, Resorts",3,positivo,2010
WOTHZ,Saddlebrook Resort Tampa,5700 Saddlebrook Way,j5qg,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,CQ72,Wesley Chapel,"33543, 33544",28.240527,-82.3272551,Florida,"Day Spas, Beauty & Spas, Resorts, Hotels & Travel, Restaurants",2.5,positivo,2010
N0KSR,Sabal Palms Inn,1301 Gulf Way,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Event Planning & Services, Real Estate, Home Services, Hotels & Travel, Hotels, Apartments",3.5,positivo,2010
