id_servicios_restaurantes,servicios_restaurantes
35MYT,zios italian market
61EZ3,roman forum
CC0JY,joes pizza
ZC96F,top shelf sports lounge
KUB5X,the pearl
H64TD,chipotle mexican grill
LH6E7,trust me bbq
8FO15,kinjos japanese restaurant
444BB,option 1 barber shop
RB8MJ,zesty tsunami
K4EV4,obriens irish pub
H8AJP,lee roy selmons
12BGI,four green fields
R1SQ4,cafe con leche
3XWIV,sake house
QT590,williams sub shop
DSXW3,g peppers grill  tavern
PEIBC,contempo hair salon
MK7L9,mai thai restaurant
LRH3T,soho oasis cafe
56LRA,noble crust
VL2OF,dominos pizza
7P42V,the silo eatery coffee bakery
BEQ3Y,main exchange barber shop
WCVLD,the corner cafe and deli
UJJ1C,the bricks
9Z9Y6,big mikes bbq
I3CL6,reno downtown joint
2Y2XH,zigzag scallop
H6J0A,bagelicious and more
4318T,snellgroves restaurant
GOG4Q,mcdonalds
K1C0H,casita taqueria
CCY2D,hippie hi
SAPPI,pita kebob
9UDBK,tin drum asia cafe
DGWXZ,china city restaurant
FKY5R,365 caffe italiano
ZHOOR,kelp sushi joint
I646J,hardees
FKJ6T,cd roma restaurant
EMNQY,sonnys bbq
5IOK5,gandolfos new york deli
AUWZ3,teds luncheonette
CXMA4,stefanecs south barber shop
15SDB,whaleys blazin bbq
IZ1W6,portofinos italian kitchen
M1T7P,terra sur cafe
TDG4O,taza mediterranean grill
NEX0D,tsunami japanese steakhouse
2FUQH,smokin out
S85CF,el rancho mexican grill
MR70A,taco bell
UVHUD,sweet petes
6U27A,beef o bradys
2GDF8,fuzzys taco shop
VD2X5,orchid thai foods
W2ELA,wheel cafe
0YB4Z,miamis best cuban by los maruchos
WRLJS,vino simpatico
YLO3H,basimo beach cafe
AQKSE,frays donut house
RU7FD,country squire barberstyle shop
1GYKW,mcandersons house of brews
335R1,golden corral buffet  grill
PA7V5,amore mio
0XLPV,yo sushi
KTIZN,the local draught house
G27HO,eats american grill
RWGYD,trips diner
BRH3Y,new hong kong chinese restaurant
NPUKV,ichicoro ane
QFU6K,breakfast club
9GY57,odessa family restaurant
56DH7,china wok
NRR9D,the little lamb
PR4B8,villagio cinemas
Y7O8N,twistee treat  new tampa
CD3LV,zaxbys chicken fingers  buffalo wings
IZG6K,suzie qs diner
MVVOJ,zekos mediterranean grill
9P94V,hair force barber shop
ZZ95V,tryst gastro lounge
F28GJ,mexico lindo
JNBBF,super china chinese restaurant
DNT58,dtown bar  grill
O8CNY,guidos italian restaurant
AQZ1Y,sulas
TBOXE,abc pizza house
